,AIC,BIC,Model,id,horizons,environment,t
503,14.986122886681098,14.2049987115493,IMD,461,5,rough,0.8
504,10.709708985528213,9.928584810396412,IMD,461,5,rough,0.0
505,14.986122886681079,14.20499871154928,IMD,461,5,rough,0.2
506,23.880986974604273,24.486157160592363,IMD,461,10,rough,0.2
507,14.986122886681095,14.204998711549296,IMD,461,5,rough,0.4
508,14.959878763031808,14.17875458790001,IMD,461,5,rough,0.6
509,14.986122886681098,14.2049987115493,IMD,461,5,rough,0.8
510,10.413150725718427,9.632026550586628,IMD,461,5,rough,0.0
511,14.159509962756216,13.378385787624417,IMD,461,5,rough,0.2
512,14.828455094428005,14.047330919296206,IMD,461,5,rough,0.4
513,14.395802686997898,13.6146785118661,IMD,461,5,rough,0.6
514,14.986122886681096,14.204998711549297,IMD,461,5,rough,0.8
515,13.297688210923004,12.516564035791205,IMD,461,5,rough,0.0
516,14.175192670464769,13.39406849533297,IMD,461,5,rough,0.2
517,23.276471202757563,23.881641388745656,IMD,461,10,rough,0.4
518,14.275326522998649,13.49420234786685,IMD,461,5,rough,0.4
519,13.624427302422971,12.843303127291172,IMD,461,5,rough,0.6
520,14.493127621082053,13.712003445950254,IMD,461,5,rough,0.8
521,12.602388850962928,11.821264675831129,IMD,461,5,rough,0.0
522,10.278096606840297,9.496972431708498,IMD,461,5,rough,0.2
523,14.175192670464767,13.394068495332968,IMD,461,5,rough,0.4
524,13.716275032689433,12.935150857557634,IMD,461,5,rough,0.6
525,14.986122886681098,14.2049987115493,IMD,461,5,rough,0.8
526,14.986122886681077,14.204998711549278,IMD,461,5,rough,0.0
527,14.044380590977646,13.263256415845847,IMD,461,5,rough,0.2
528,22.615416830718104,23.220587016706197,IMD,461,10,rough,0.0
529,14.564361330500516,13.783237155368717,IMD,461,5,rough,0.4
530,10.127982789678402,9.346858614546603,IMD,461,5,rough,0.6
531,14.240971930398342,13.459847755266543,IMD,461,5,rough,0.8
532,11.758076979347907,10.976952804216108,IMD,461,5,rough,0.0
533,14.716250067812624,13.935125892680825,IMD,461,5,rough,0.2
534,14.958724223853922,14.177600048722123,IMD,461,5,rough,0.4
535,14.98612288668109,14.20499871154929,IMD,461,5,rough,0.6
536,14.986122886681098,14.2049987115493,IMD,461,5,rough,0.8
537,14.55213624863217,13.771012073500371,IMD,461,5,rough,0.0
538,6.104086830624167,5.3229626554923675,IMD,461,5,rough,0.2
539,25.025107375287824,25.630277561275918,IMD,461,10,rough,0.2
540,14.55370983997341,13.77258566484161,IMD,461,5,rough,0.4
541,10.272771242039006,9.491647066907207,IMD,461,5,rough,0.6
542,12.431487803654063,11.650363628522264,IMD,461,5,rough,0.8
543,14.979553080405083,14.198428905273284,IMD,461,5,rough,0.0
544,14.166666506691287,13.385542331559488,IMD,461,5,rough,0.2
545,14.903337177397129,14.12221300226533,IMD,461,5,rough,0.4
546,14.175192670464735,13.394068495332936,IMD,461,5,rough,0.6
547,12.662846025544669,11.88172185041287,IMD,461,5,rough,0.8
548,14.98612288668106,14.20499871154926,IMD,461,5,rough,0.0
549,14.985937285508697,14.204813110376898,IMD,461,5,smooth,1.0
550,25.967602166809197,26.572772352797287,IMD,461,10,rough,0.4
551,14.08949222847209,13.30836805334029,IMD,461,5,rough,1.0
552,14.279973832617342,13.498849657485543,IMD,461,5,smooth,1.0
553,12.52652738250887,11.745403207377072,IMD,461,5,smooth,1.0
554,14.648181925031833,13.867057749900034,IMD,461,5,smooth,1.0
555,14.853955138461108,14.07283096332931,IMD,461,5,rough,1.0
556,22.323148119124532,22.928318305112626,IMD,461,10,smooth,1.0
557,13.630271323316233,12.849147148184434,IMD,461,5,smooth,1.0
558,11.54252103903401,10.761396863902212,IMD,461,5,rough,1.0
559,25.97224577336217,26.57741595935026,IMD,461,10,rough,1.0
560,14.89523774698791,14.11411357185611,IMD,461,5,smooth,1.0
561,25.972245773362193,26.577415959350283,IMD,461,10,rough,0.0
562,14.901875397910969,14.12075122277917,IMD,461,5,rough,1.0
563,23.232765310460675,23.837935496448765,IMD,461,10,rough,1.0
564,24.16170343445077,24.766873620438865,IMD,461,10,smooth,1.0
565,14.625891972544958,13.844767797413159,IMD,461,5,rough,1.0
566,25.21182579867844,25.816995984666534,IMD,461,10,smooth,1.0
567,25.16131555714582,25.766485743133913,IMD,461,10,rough,1.0
568,25.972245773362193,26.577415959350283,IMD,461,10,smooth,1.0
569,23.834595194207733,24.439765380195823,IMD,461,10,rough,1.0
570,25.587776130747812,26.192946316735906,IMD,461,10,smooth,1.0
571,25.59812869581371,26.2032988818018,IMD,461,10,smooth,1.0
572,17.25024063275789,17.85541081874598,IMD,461,10,rough,0.2
573,24.167703599207016,24.77287378519511,IMD,461,10,rough,0.2
574,25.954429904755337,26.55960009074343,IMD,461,10,rough,0.6
575,24.865885087182207,25.4710552731703,IMD,461,10,rough,0.6
576,24.40054786723966,25.005718053227753,IMD,461,10,rough,0.6
577,23.614650237870126,24.219820423858216,IMD,461,10,rough,0.6
578,25.972245773362193,26.577415959350283,IMD,461,10,rough,0.6
579,25.968612153944935,26.573782339933025,IMD,461,10,rough,1.0
580,23.45233136794023,24.05750155392832,IMD,461,10,rough,0.6
581,23.658202421209307,24.263372607197397,IMD,461,10,rough,0.8
582,24.4808929855776,25.08606317156569,IMD,461,10,rough,0.6
583,24.894204563902232,25.499374749890322,IMD,461,10,rough,0.8
584,24.31057863315723,24.91574881914532,IMD,461,10,rough,0.4
585,24.365325935041735,24.970496121029825,IMD,461,10,rough,0.6
586,25.972245773362193,26.577415959350283,IMD,461,10,rough,0.8
587,25.161315557145866,25.766485743133956,IMD,461,10,rough,0.6
588,25.865707004683824,26.470877190671914,IMD,461,10,rough,0.8
589,22.84553060455875,23.45070079054684,IMD,461,10,rough,0.6
590,25.972245773362193,26.577415959350283,IMD,461,10,rough,0.8
591,14.970612470414979,14.18948829528318,IMD,461,5,smooth,1.0
592,23.992699156901367,24.59786934288946,IMD,461,10,rough,0.6
593,25.972245773362182,26.577415959350276,IMD,461,10,rough,0.8
594,19.80000936919518,20.40517955518327,IMD,461,10,rough,0.6
595,25.97224577336216,26.577415959350255,IMD,461,10,rough,0.0
596,25.335176075348695,25.940346261336785,IMD,461,10,rough,0.8
597,23.660445747286044,24.265615933274134,IMD,461,10,rough,0.6
598,25.972245773362193,26.577415959350283,IMD,461,10,rough,0.8
599,24.759385032409035,25.36455521839713,IMD,461,10,rough,0.6
600,25.826162526504543,26.431332712492633,IMD,461,10,rough,0.8
601,25.94031293148171,26.5454831174698,IMD,461,10,rough,0.6
602,25.283021994163384,25.888192180151478,IMD,461,10,rough,0.8
603,25.971086567621498,26.57625675360959,IMD,461,10,rough,0.6
604,25.161315557145866,25.766485743133956,IMD,461,10,rough,0.8
605,25.94897668178694,26.55414686777503,IMD,461,10,rough,0.6
606,25.961952338797655,26.567122524785745,IMD,461,10,rough,0.2
607,25.972245773362193,26.577415959350283,IMD,461,10,rough,0.8
608,25.133578863595694,25.738749049583788,IMD,461,10,rough,0.6
609,23.819967561712527,24.425137747700617,IMD,461,10,rough,0.8
610,24.682767417548533,25.287937603536626,IMD,461,10,rough,0.6
611,20.358161945044106,20.963332131032196,IMD,461,10,rough,0.8
612,24.83090369141152,25.436073877399615,IMD,461,10,rough,0.6
613,25.972245773362193,26.577415959350283,IMD,461,10,rough,0.8
614,22.28857892149242,22.89374910748051,IMD,461,10,rough,1.0
615,6.104086830624407,5.322962655492607,IMD,461,5,rough,1.0
616,23.646941202645806,24.2521113886339,IMD,461,10,rough,1.0
617,25.56398922769961,26.1691594136877,IMD,461,10,rough,0.4
618,14.39158630463312,13.610462129501322,IMD,461,5,rough,1.0
619,13.0804201538351,12.2992959787033,IMD,461,5,rough,1.0
620,25.81697432966538,26.42214451565347,IMD,461,10,rough,1.0
621,24.145309294510827,24.750479480498917,IMD,461,10,rough,1.0
